Gene	Pathway
TNFSF10	Apoptosis
TNFRSF10A	Apoptosis
TNFRSF10B	Apoptosis
FASLG	Apoptosis
FAS	Apoptosis
FADD	Apoptosis
TNF	Apoptosis
TNFRSF1A	Apoptosis
TRADD	Apoptosis
CFLAR	Apoptosis
CASP8	Apoptosis
CASP10	Apoptosis
CASP6	Apoptosis
CASP3	Apoptosis
CASP7	Apoptosis
BID	Apoptosis
BAX	Apoptosis
BAK1	Apoptosis
DIABLO	Apoptosis
SEPTIN4	Apoptosis
HTRA2	Apoptosis
CYCS	Apoptosis
APAF1	Apoptosis
CASP9	Apoptosis
PRF1	Apoptosis
GZMB	Apoptosis
TUBA1B	Apoptosis
TUBA4A	Apoptosis
TUBA3C	Apoptosis
TUBA1A	Apoptosis
TUBA1C	Apoptosis
TUBA8	Apoptosis
TUBA3E	Apoptosis
TUBA3D	Apoptosis
TUBAL3	Apoptosis
MCL1	Apoptosis
ACTG1	Apoptosis
ACTB	Apoptosis
SPTAN1	Apoptosis
LMNA	Apoptosis
LMNB1	Apoptosis
LMNB2	Apoptosis
PARP1	Apoptosis
PARP2	Apoptosis
PARP3	Apoptosis
PARP4	Apoptosis
DFFA	Apoptosis
DFFB	Apoptosis
ENDOG	Apoptosis
AIFM1	Apoptosis
ERN1	Apoptosis
TRAF2	Apoptosis
ITPR1	Apoptosis
ITPR2	Apoptosis
ITPR3	Apoptosis
CAPN1	Apoptosis
CAPN2	Apoptosis
CASP12	Apoptosis
EIF2AK3	Apoptosis
EIF2S1	Apoptosis
ATF4	Apoptosis
DDIT3	Apoptosis
CTSB	Apoptosis
CTSC	Apoptosis
CTSD	Apoptosis
CTSF	Apoptosis
CTSH	Apoptosis
CTSK	Apoptosis
CTSL	Apoptosis
CTSO	Apoptosis
CTSS	Apoptosis
CTSV	Apoptosis
CTSW	Apoptosis
CTSZ	Apoptosis
BIRC2	Apoptosis
BIRC3	Apoptosis
XIAP	Apoptosis
BIRC5	Apoptosis
BCL2L11	Apoptosis
BCL2L1	Apoptosis
BCL2	Apoptosis
DAXX	Apoptosis
RIPK1	Apoptosis
DAB2IP	Apoptosis
MAP3K5	Apoptosis
MAPK8	Apoptosis
MAPK10	Apoptosis
MAPK9	Apoptosis
BAD	Apoptosis
JUN	Apoptosis
FOS	Apoptosis
TP53	Apoptosis
HRK	Apoptosis
MAP3K14	Apoptosis
CHUK	Apoptosis
IKBKB	Apoptosis
IKBKG	Apoptosis
NFKBIA	Apoptosis
NFKB1	Apoptosis
RELA	Apoptosis
PTPN13	Apoptosis
GADD45A	Apoptosis
GADD45B	Apoptosis
GADD45G	Apoptosis
TRAF1	Apoptosis
BCL2A1	Apoptosis
ATM	Apoptosis
PIDD1	Apoptosis
TP53AIP1	Apoptosis
BBC3	Apoptosis
PMAIP1	Apoptosis
CASP2	Apoptosis
NGF	Apoptosis
NTRK1	Apoptosis
IL3	Apoptosis
IL3RA	Apoptosis
CSF2RB	Apoptosis
PIK3CA	Apoptosis
PIK3CD	Apoptosis
PIK3CB	Apoptosis
PIK3R1	Apoptosis
PIK3R2	Apoptosis
PIK3R3	Apoptosis
PDPK1	Apoptosis
AKT1	Apoptosis
AKT2	Apoptosis
AKT3	Apoptosis
HRAS	Apoptosis
KRAS	Apoptosis
NRAS	Apoptosis
RAF1	Apoptosis
MAP2K1	Apoptosis
MAP2K2	Apoptosis
MAPK1	Apoptosis
MAPK3	Apoptosis
ATP1A1	Autosis
MTOR	Autosis
RPTOR	Autosis
AKT1S1	Autosis
DEPTOR	Autosis
MLST8	Autosis
TELO2	Autosis
TTI1	Autosis
ULK1	Autosis
RB1CC1	Autosis
ATG101	Autosis
ATG13	Autosis
BECN1	Autosis
PIK3C3	Autosis
PIK3R4	Autosis
ATG14	Autosis
NRBF2	Autosis
BECN1	Autosis
TNF	Necroptosis
TNFRSF1A	Necroptosis
TRADD	Necroptosis
TRAF2	Necroptosis
TRAF5	Necroptosis
RIPK1	Necroptosis
BIRC2	Necroptosis
BIRC3	Necroptosis
XIAP	Necroptosis
RBCK1	Necroptosis
RNF31	Necroptosis
SHARPIN	Necroptosis
SPATA2L	Necroptosis
SPATA2	Necroptosis
CYLD	Necroptosis
FADD	Necroptosis
CASP8	Necroptosis
CFLAR	Necroptosis
RIPK3	Necroptosis
CYBB	Necroptosis
CAMK2A	Necroptosis
CAMK2D	Necroptosis
CAMK2B	Necroptosis
CAMK2G	Necroptosis
SLC25A4	Necroptosis
SLC25A5	Necroptosis
SLC25A6	Necroptosis
SLC25A31	Necroptosis
PPID	Necroptosis
VDAC1	Necroptosis
VDAC2	Necroptosis
VDAC3	Necroptosis
GLUD2	Necroptosis
GLUD1	Necroptosis
GLUL	Necroptosis
PYGL	Necroptosis
PYGM	Necroptosis
PYGB	Necroptosis
MAPK8	Necroptosis
MAPK10	Necroptosis
MAPK9	Necroptosis
FTH1	Necroptosis
FTL	Necroptosis
PLA2G4E	Necroptosis
PLA2G4A	Necroptosis
JMJD7-PLA2G4B	Necroptosis
PLA2G4B	Necroptosis
PLA2G4C	Necroptosis
PLA2G4D	Necroptosis
PLA2G4F	Necroptosis
ALOX15	Necroptosis
CAPN1	Necroptosis
CAPN2	Necroptosis
SMPD1	Necroptosis
MLKL	Necroptosis
PGAM5	Necroptosis
DNM1L	Necroptosis
NLRP3	Necroptosis
PYCARD	Necroptosis
CASP1	Necroptosis
IL1B	Necroptosis
CHMP2A	Necroptosis
CHMP2B	Necroptosis
CHMP3	Necroptosis
RNF103-CHMP3	Necroptosis
CHMP4B	Necroptosis
CHMP4A	Necroptosis
CHMP4C	Necroptosis
CHMP6	Necroptosis
VPS4B	Necroptosis
VPS4A	Necroptosis
CHMP1B	Necroptosis
CHMP1A	Necroptosis
CHMP5	Necroptosis
CHMP7	Necroptosis
TRPM7	Necroptosis
IL1A	Necroptosis
IL33	Necroptosis
HMGB1	Necroptosis
TNFSF10	Necroptosis
TNFRSF10A	Necroptosis
TNFRSF10B	Necroptosis
FASLG	Necroptosis
FAS	Necroptosis
IFNA1	Necroptosis
IFNA2	Necroptosis
IFNA4	Necroptosis
IFNA5	Necroptosis
IFNA6	Necroptosis
IFNA7	Necroptosis
IFNA8	Necroptosis
IFNA10	Necroptosis
IFNA13	Necroptosis
IFNA14	Necroptosis
IFNA16	Necroptosis
IFNA17	Necroptosis
IFNA21	Necroptosis
IFNB1	Necroptosis
IFNG	Necroptosis
IFNAR1	Necroptosis
IFNAR2	Necroptosis
IFNGR1	Necroptosis
IFNGR2	Necroptosis
JAK1	Necroptosis
JAK2	Necroptosis
JAK3	Necroptosis
TYK2	Necroptosis
STAT1	Necroptosis
STAT2	Necroptosis
STAT3	Necroptosis
STAT4	Necroptosis
STAT5A	Necroptosis
STAT5B	Necroptosis
STAT6	Necroptosis
IRF9	Necroptosis
EIF2AK2	Necroptosis
TLR4	Necroptosis
TICAM2	Necroptosis
TICAM1	Necroptosis
TLR3	Necroptosis
ZBP1	Necroptosis
USP21	Necroptosis
SQSTM1	Necroptosis
HSP90AA1	Necroptosis
HSP90AB1	Necroptosis
TNFAIP3	Necroptosis
PARP1	Necroptosis
BID	Necroptosis
BAX	Necroptosis
AIFM1	Necroptosis
H2AX	Necroptosis
H2AC20	Necroptosis
H2AC12	Necroptosis
H2AC1	Necroptosis
H2AC25	Necroptosis
H2AB3	Necroptosis
H2AC8	Necroptosis
H2AC4	Necroptosis
MACROH2A2	Necroptosis
MACROH2A1	Necroptosis
H2AC19	Necroptosis
H2AJ	Necroptosis
H2AB1	Necroptosis
H2AC17	Necroptosis
H2AC18	Necroptosis
H2AC11	Necroptosis
H2AC21	Necroptosis
H2AZ2	Necroptosis
H2AC7	Necroptosis
H2AZ1	Necroptosis
H2AC15	Necroptosis
H2AC6	Necroptosis
H2AC13	Necroptosis
H2AC14	Necroptosis
H2AC16	Necroptosis
H2AB2	Necroptosis
H2AL3	Necroptosis
PPIA	Necroptosis
BCL2	Necroptosis
SLC3A2	Ferroptosis
SLC7A11	Ferroptosis
TP53	Ferroptosis
GCLC	Ferroptosis
GCLM	Ferroptosis
GSS	Ferroptosis
GPX4	Ferroptosis
ACSL6	Ferroptosis
ACSL4	Ferroptosis
ACSL1	Ferroptosis
ACSL5	Ferroptosis
ACSL3	Ferroptosis
LPCAT3	Ferroptosis
ALOX15	Ferroptosis
SAT2	Ferroptosis
SAT1	Ferroptosis
TF	Ferroptosis
TFRC	Ferroptosis
STEAP3	Ferroptosis
SLC11A2	Ferroptosis
SLC39A8	Ferroptosis
SLC39A14	Ferroptosis
PCBP2	Ferroptosis
SLC40A1	Ferroptosis
CP	Ferroptosis
PCBP1	Ferroptosis
FTH1	Ferroptosis
FTL	Ferroptosis
MAP1LC3C	Ferroptosis
MAP1LC3B	Ferroptosis
MAP1LC3A	Ferroptosis
MAP1LC3B2	Ferroptosis
ATG5	Ferroptosis
ATG7	Ferroptosis
NCOA4	Ferroptosis
PRNP	Ferroptosis
HMOX1	Ferroptosis
VDAC2	Ferroptosis
VDAC3	Ferroptosis
CYBB	Ferroptosis
FTMT	Ferroptosis
NAIP	Pyroptosis
NLRC4	Pyroptosis
NLRP1	Pyroptosis
NLRP3	Pyroptosis
NEK7	Pyroptosis
AIM2	Pyroptosis
PYRIN	Pyroptosis
ASC	Pyroptosis
CASPASE1	Pyroptosis
IL1B	Pyroptosis
IL18	Pyroptosis
CASPASE4	Pyroptosis
CASPASE5	Pyroptosis
CASPASE11	Pyroptosis
TAK1	Pyroptosis
CASPASE8	Pyroptosis
CASPASE3	Pyroptosis
GSDMD	Pyroptosis
CASP3	Efferocytosis
CASP7	Efferocytosis
CASP1	Efferocytosis
PANX1	Efferocytosis
P2RY2	Efferocytosis
P2RY6	Efferocytosis
P2RY12	Efferocytosis
SPHK1	Efferocytosis
SPHK2	Efferocytosis
S1PR1	Efferocytosis
PLA2G6	Efferocytosis
ABCA1	Efferocytosis
GPR132	Efferocytosis
ADAM17	Efferocytosis
ADAM10	Efferocytosis
CX3CL1	Efferocytosis
CX3CR1	Efferocytosis
NFATC2	Efferocytosis
NFATC1	Efferocytosis
NFATC3	Efferocytosis
NFATC4	Efferocytosis
HIF1A	Efferocytosis
ARNT	Efferocytosis
EPO	Efferocytosis
EPOR	Efferocytosis
JAK2	Efferocytosis
MAPK1	Efferocytosis
MAPK3	Efferocytosis
CEBPB	Efferocytosis
PPARG	Efferocytosis
RXRA	Efferocytosis
MFGE8	Efferocytosis
GAS6	Efferocytosis
MERTK	Efferocytosis
CD36	Efferocytosis
THBS1	Efferocytosis
MAP2K1	Efferocytosis
MAP2K2	Efferocytosis
PTGS2	Efferocytosis
PTGER2	Efferocytosis
PTGER4	Efferocytosis
DNMT3A	Efferocytosis
CREB1	Efferocytosis
TGFB1	Efferocytosis
ATP2A1	Efferocytosis
ATP2A3	Efferocytosis
ATP2A2	Efferocytosis
CAMK2A	Efferocytosis
CAMK2D	Efferocytosis
CAMK2B	Efferocytosis
CAMK2G	Efferocytosis
MAPK11	Efferocytosis
